ID	Activity	TimeRepresent	Class	Star	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText	DailyQuest	BuffID	TotalCount	FinishType	IsDouble	ExtraReward	DoubleStartTime	DoubleEndTime	CareerEvent	ShowLevel	Map	MapTip	IconFrame	BackgroundImage3
106	南屏昆仑之役·进攻	每周二、周四的22：00~23：00。	3		90	2:100;3:100;8:100;	53	0			0		大规模野外战斗	<text>text="       " font=202</text><text>text=" 侠士亦可在主城日常接交处的" font=18</text><text>text="战魂牌" font=168 link="NPCGuide/171"</text><text>text="上接取任务。阵营玩家可前往南屏山（" font=18</text><text>text="恶人谷进攻首领" font=168 link="NPCGuide/154"</text><text>text="、" font=18</text><text>text="浩气盟战旗" font=168 link="NPCGuide/155"</text><text>text="）或昆仑（" font=18</text><text>text="浩气盟进攻首领" font=168 link="NPCGuide/152"</text><text>text="、" font=18</text><text>text="恶人谷战旗" font=168 link="NPCGuide/153"</text><text>text="）参与活动。" font=18</text>	<text>text="        失败方任务奖励：25金，1000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="；胜利方任务奖励：100金，3000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="。" font=198</text>	<text>text="        " font=202</text><text>text="1、活动开启后，可人会在昆仑、莫雨会在南屏山同时向对方营地发起进攻。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、率先击破对方战旗，或击败对方主将将获得本次活动的胜利。活动结束仍未分胜负，将以击杀人数决定胜负。\\\n" font=18</text><text>text="        " font=202</text><text>text="3、活动结束后，在筹备阶段获得《功劳簿》的阵营玩家可前往主城日常接交处的战魂牌接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。" font=18</text>	3	30;10;0;	0	ui\Image\Active\kerenmoyu1.tga	ui\Image\Active\kerenmoyu2.tga						4130	1							0~999	22;30;	<text>text="战阶积分、威望、金币" font=198</text>		ui\Image\Active\kerenmoyu2.tga
110	美人图·潜行		2	5	60		5	0			1			<text>text="可在瞿塘峡的" font=18</text><text>text="活动任务" font=229 link="NPCGuide/827"</text><text>text="处接取。" font=18</text>		<text>text="1、每周三、周五、周六、周日的早上七点开启，持续到次日凌晨七点。\\\n2、各种特色成就等待挑战。\\\n3、不经过易容是完成不了任务的。" font=18</text>	3	0;	2	ui\Image\Active\活动场景\美人图潜行.tga	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_MeiRenTuQianXing.tga	1				213									0~999			19	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_MeiRenTuQianXing.tga
111	主城茶馆		2	4	20		5	0			1			<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="洛阳" font=168 link="NPCGuide/143"</text><text>text="、" font=15</text><text>text="长安" font=168 link="NPCGuide/141"</text><text>text="、" font=15</text><text>text="扬州" font=168 link="NPCGuide/140"</text><text>text="、" font=15</text><text>text="成都" font=168 link="NPCGuide/142"</text><text>text="驿站附近的老板娘处接受任务委托。" font=18</text>		<text>text="        1、每人每日可接取十次老板娘的任务委托。\\\n        2、完成十次任务委托的额外奖励需要接取任务" font=18</text><text>text="久经风霜百炼钢" font=168</text><text>text="来获得。" font=18</text>	4	0;	0	ui\Image\Active\活动场景\茶馆.tga	ui\Image\Active\活动场景\茶馆.tga					232						1440630000	1442185200		0~79			12	ui\Image\Active\活动场景\茶馆.tga
113	帮会食堂		2	2	10;			0					单人完成	<text>text="可通过" font=18</text><text>text="太原" font=186 link="NPCGuide/854"</text><text>text="、" font=18</text><text>text="扬州" font=186 link="NPCGuide/844"</text><text>text="或" font=18</text><text>text="成都" font=186 link="NPCGuide/845"</text><text>text="的帮会家园执事" font=18</text><text>text="玄字玖贰" font=229 link="NPCGuide/845"</text><text>text="处传送进帮会领地。" font=18</text>		<text>text="1、每天8点、12点和18点开启，每次持续2小时。\\\n2、帮会天工树【吃遍天下】节点等级越高，美食种类越多。\\\n\\\n" font=18</text>	3	30;10;0;	0	ui\Image\Active\活动场景\帮会食堂.tga	ui\Image\Active\活动场景\帮会食堂.tga														0~999			9	ui\Image\Active\活动场景\帮会食堂.tga
114	元旦活动	每年的元旦前后开放	1	5	50	3:100;4:100;7:100;8:100;	7	1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="        " font=18</text><text>text="长安" font=229 link="NPCGuide/209"</text><text>text="、" font=229</text><text>text="洛阳" font=229 link="NPCGuide/211"</text><text>text="、" font=229</text><text>text="扬州" font=229 link="NPCGuide/212"</text><text>text="、" font=229</text><text>text="成都" font=229 link="NPCGuide/210"</text><text>text="、" font=229</text><text>text="太原" font=229 link="NPCGuide/916"</text><text>text="、" font=229</text><text>text="龙门荒漠" font=229 link="NPCGuide/213"</text><text>text="。" font=229</text>	<box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 11613, 1)\"</box><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 21050, 1)\"</box><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 21033, 1)\"</box><text>text="三选一道具：20个" font=198</text><text>text="监本印文兑换券" font=198 link="ItemLinkInfo/5/10025"</text><text>text="、1000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、1500点江湖贡献。" font=198</text>	<text>text="        " font=18</text><text>text="每日参与预计所需时间20分钟" font=168</text><text>text="\\\n        1、50级以上的玩家每日可前往主城苏慧蓉处领取" font=18</text><text>text="龙门金蛋" font=74 link="ItemLinkInfo/5/11613"</text><text>text="。\\\n        2、50级以上的玩家每日可前往龙门荒漠凌燕丘处接受挑战，获得" font=18</text><text>text="胡月宝箱" font=77 link="ItemLinkInfo/5/21050"</text><text>text="和" font=18</text><text>text="飞剑盒钥匙" font=74 link="ItemLinkInfo/5/21033"</text><text>text="。\\\n      " font=18</text><text>text="  " font=7</text><text>text="3、胡月宝箱奖励列表：" font=10</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="、精铁宝箱、锡制宝箱、各种材料，部分五彩石，部分五行石，金钱。" font=18</text><text>text="\\\n        " font=15</text><text>text="4、龙门金蛋奖励列表：" font=10</text><text>text="真橙之心" font=168 link="ItemLinkInfo/5/7968"</text><text>text="、" font=18</text><text>text="鎏金宝箱" font=74 link="ItemLinkInfo/5/10032"</text><text>text="、" font=18</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="、" font=18</text><text>text="福禄宝箱·安史之乱" font=74 link="ItemLinkInfo/5/20523"</text><text>text="，各级五行石和五彩石，侠义值，监本印文，威望，江湖贡献，金钱等。\\\n     " font=18</text><text>text="   5、飞剑盒奖励列表" font=10</text><text>text="：" font=18</text><text>text="真·龙门飞剑" font=74 link="ItemLinkInfo/5/11632"</text><text>text="，加侠义值、威望、江湖贡献上限的物品，假剑。" font=18</text>	4		2	ui\Image\Active\活动场景\元旦佳节方.tga	ui\Image\Active\ActivityFistPage\RecommendBig\元旦佳节长.tga	0			<text>text="龙门金蛋奖励列表：" font=7</text><text>text="真橙之心" font=68 link="ItemLinkInfo/5/7968"</text><text>text="福禄宝箱·安史之乱" font=74 link="ItemLinkInfo/5/20523"</text><text>text="精铁宝箱" font=77 link="ItemLinkInfo/5/6255"</text><text>text="等，4级、5级、6级五行石，3级、4级五彩石，侠义值，监本印文，威望，江湖贡献，金钱。" font=7</text><text>text="\\\n" font=18</text><text>text="飞剑盒奖励列表：" font=7</text><text>text="真·龙门飞剑" font=74 link="ItemLinkInfo/5/11632"</text><text>text="，加侠义值、威望、江湖贡献上限的物品，假剑。" font=7</text>										50~999			16	ui\Image\Active\ActivityFistPage\RecommendBig\元旦佳节长.tga
116	春节活动·重奖年后迎归客	每年的春节开放，至元宵后结束。	1		20		0			51			全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="14次双倍奖励的机会" font=18</text>	<text>text="砸年兽、放花灯、寻宝藏，红包多多热热闹闹过大年" font=18</text>	4																						
117	花朝节·相伴江湖	2016年3月10日7点至2016年3月17日7点	1	5	20	6:0;	11	1	ui\Image\Helper\Help—Bg.UITex	54	0		全民参与	<text>text="万花谷落星湖" font=229 link="NPCGuide/767"</text><text>text="、" font=229</text><text>text="七秀坊青萝山" font=229 link="NPCGuide/999"</text><text>text="、" font=229</text><text>text="五毒圣兽潭" font=229 link="NPCGuide/1000"</text><text>text="、" font=229</text><text>text="长歌门翠湄居" font=229 link="NPCGuide/1001"</text><text>text="、" font=229</text><text>text="太原" font=229 link="NPCGuide/852"</text><text>text="、" font=229</text><text>text="扬州" font=229 link="NPCGuide/1002"</text><text>text="、" font=229</text><text>text="成都" font=229 link="NPCGuide/1003"</text><text>text="、" font=229</text><text>text="长安" font=229 link="NPCGuide/1004"</text><text>text="、" font=229</text><text>text="洛阳" font=229 link="NPCGuide/1005"</text><text>text="。" font=229</text>	<box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 6373, 1)\"</box><text>text="、" font=18</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 18786, 1)\"</box><text>text="、大量阅历。" font=18</text>	<text>text="        1、满20级的玩家可在各大主城长安、洛阳、扬州、成都、太原以及万花、七秀、五毒、长歌找到苏水心，她会告知你前往万花谷落星湖找花圣宇晴了解月季花一事。\\\n        2、为自己的意中人燃放一盏" font=18</text><text>text="暮翠朝红桃花灯" font=80 link="ItemLinkInfo/5/11800"</text><text>text="以表对自己意中人的爱意。宇晴会奖励给你她自己精心培育的" font=18</text><text>text="月季种子·花朝节" font=74 link="ItemLinkInfo/5/18788"</text><text>text="，将" font=18</text><text>text="月季种子·花朝节" font=74 link="ItemLinkInfo/5/18788"</text><text>text="在帮会菜地或者花盆播种之后，可以收获" font=18</text><text>text="陈月喜爱的月季花" font=74 link="ItemLinkInfo/5/18786"</text><text>text="。\\\n        3、玩家携带一定数量的" font=18</text><text>text="陈月喜爱的月季花" font=74 link="ItemLinkInfo/5/18786"</text><text>text="时，若重伤（被玩家击杀除外），则可以被陈月用锋针救助，且消耗一定数量的该道具并进入一定调息时间（月季花数量不足，救助调息时间内则无法触发，试炼之地，浩气盟，恶人谷，战场，名剑大会也无法触发）。玩家亦可主动使用" font=18</text><text>text="陈月喜爱的月季花" font=74 link="ItemLinkInfo/5/18786"</text><text>text="召请陈月对已经重伤的玩家进行救助，或者对自己使用获得陈月给与的增益新月花语，气血值提高2500点。\\\n        4、在太原、万花、七秀、五毒、长歌完成护花使者日常任务，可获得" font=18</text><text>text="陈月喜爱的月季花" font=74 link="ItemLinkInfo/5/18786"</text><text>text="。\\\n        5、如果在太原摆放的花卉、万花花海、七秀青萝山、五毒圣兽潭、长歌翠湄居的花丛或自己种植的月季花中，找出雨蝶，可以到苏水心处换取" font=18</text><text>text="长映朱颜" font=74 link="ItemLinkInfo/8/19332"</text><text>text="和" font=18</text><text>text="小刺" font=74 link="ItemLinkInfo/8/16876"</text><text>text="。" font=18</text>	4		2	ui\Image\Active\活动场景\花朝节.tga	ui\Image\Active\ActivityFistPage\RecommendBig\节日花朝.tga	0												200				16	ui\Image\Active\ActivityFistPage\RecommendBig\节日花朝.tga
118	南屏昆仑之役·创建任务npc	每周二、周四的10:00~次日7点	3		90	2:100;3:100;8:75;	0	0			0		个人可参与	<text>text="        " font=202</text><text>text="浩气盟玩家可前往" font=18</text><text>text="南屏山浩气盟调度使" font=168 link="NPCGuide/149"</text><text>text="或" font=18</text><text>text="昆仑浩气盟调度使" font=168 link="NPCGuide/146"</text><text>text="，恶人谷玩家可前往" font=18</text><text>text="南屏山恶人谷调度使" font=168 link="NPCGuide/151"</text><text>text="或" font=18</text><text>text="昆仑恶人谷调度使" font=168 link="NPCGuide/148"</text><text>text="，中立玩家可前往" font=18</text><text>text="南屏山隐元会使者" font=168 link="NPCGuide/150"</text><text>text="或" font=18</text><text>text="昆仑隐元会使者" font=168 link="NPCGuide/148"</text><text>text="处接取任务。" font=18</text>	<text>text="        75金，3000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="（仅阵营玩家），350点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="（仅阵营玩家）" font=198</text>	<text>text="        " font=202</text><text>text="1、阵营玩家完成先发制人系列任务可增加本方1点战力值，并获得《功劳簿》，活动结束后，获得《功劳簿》的阵营玩家可前往主城活动区找茜茜和青青接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、中立玩家完成筹集粮草任务可为当前场景的进攻方增加1点粮草值\\\n" font=18</text><text>text="        " font=202</text><text>text="3、战力值将直接影响进攻阶段己方首领的战斗能力。进攻阶段，每100点的粮草值可以使进攻方守卫NPC复活1次。" font=18</text>	3	30;10;0;	0	ui\Image\Active\kerenmoyu1.tga	ui\Image\Active\kerenmoyu2.tga														0~999				ui\Image\Active\kerenmoyu2.tga
119	勤修不辍·打坐		2	3	15			0			1			<text>text="可前往各门派习武区域参与（点击相应门派可查看地点）：" font=18</text><text>text="七秀" font=229 link="NPCGuide/954"</text><text>text="、" font=18</text><text>text="纯阳" font=229 link="NPCGuide/949"</text><text>text="、" font=18</text><text>text="天策" font=229 link="NPCGuide/950"</text><text>text="、" font=18</text><text>text="五毒" font=229 link="NPCGuide/952"</text><text>text="、" font=18</text><text>text="少林" font=229 link="NPCGuide/959"</text><text>text="、" font=18</text><text>text="唐门" font=229 link="NPCGuide/960"</text><text>text="、" font=18</text><text>text="万花" font=229 link="NPCGuide/953"</text><text>text="、" font=18</text><text>text="藏剑" font=229 link="NPCGuide/957"</text><text>text="、" font=18</text><text>text="明教" font=229 link="NPCGuide/955"</text><text>text="、" font=18</text><text>text="天策·战乱" font=229 link="NPCGuide/961"</text><text>text="、" font=18</text><text>text="丐帮" font=229 link="NPCGuide/956"</text><text>text="、" font=18</text><text>text="苍云" font=229 link="NPCGuide/958"</text><text>text="、" font=18</text><text>text="长歌" font=229 link="NPCGuide/951"</text><text>text="、" font=18</text><text>text="霸刀" font=229 link="NPCGuide/989"</text><text>text="。" font=18</text>		<text>text="1、活动开启时，可在门派场景的打坐区域打坐，获得修为奖励。\\\n2、每天12点、18点、23点开启，每次开启2个小时。\\\n3、可以一天之中3场打坐全部参与。\\\n4、本门弟子有几率被各派掌门、代掌门亲自传功，可获得大量修为奖励。\\\n5、使用帮会丹房出产的" font=18</text><text>text="活络金丹" font=77 link="ItemLinkInfo/5/7041"</text><text>text="，可以提高打坐的修为收益。" font=18</text>	3			ui\Image\Active\活动场景\勤修不辍.打坐.tga	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QinXiuDaZuo.tga						1372	1							0~999			21	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QinXiuDaZuo.tga
120	游历瞿塘采仙草		2	4	60~95		9	0			1			<text>text="可在瞿塘峡白帝城的" font=18</text><text>text="活动任务" font=229 link="NPCGuide/827"</text><text>text="牌处接取活动任务。" font=18</text>		<text>text="1、每周三、周五、周六、周日的早上七点开启，持续到次日凌晨七点。\\\n2、需要先跟瞿塘峡的冷馨兰开启计时。\\\n3、完成任务的时间和采集仙草的数量会影响奖励。\\\n" font=18</text>			2	ui\Image\Active\活动场景\采仙草.tga	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QuTangXiaCaiXianCao.tga					216								514	0~999			11	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QuTangXiaCaiXianCao.tga
121	战场日-三国古战场	本战场日的12点~次日凌晨1点开放	3		95	2:100;3:100;	2	0			1		15人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=168 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=202</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="。每天的首次战场胜利可以获得额外的大量威望和战阶以及威望周上限道具奖励。" font=18</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、满级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到7人才可正常开启战场\\\n        2、中午12点~次日凌晨1点开放，12点开始时即可获得战阶积分和每日首胜额外奖励" font=18</text>	3										4122	1	1						0~999				
124	勤修不辍·演武	全天开启。	2	2	15	0		0			4		个人可参与	<text>text="可前往各门派习武区域参与（点击查看）：" font=18</text><text>text="七秀" font=229 link="NPCGuide/829"</text><text>text="、" font=18</text><text>text="纯阳" font=229 link="NPCGuide/830"</text><text>text="、" font=18</text><text>text="天策" font=229 link="NPCGuide/831"</text><text>text="、" font=18</text><text>text="五毒" font=229 link="NPCGuide/832"</text><text>text="、" font=18</text><text>text="少林" font=229 link="NPCGuide/833"</text><text>text="、" font=18</text><text>text="唐门" font=229 link="NPCGuide/834"</text><text>text="、" font=18</text><text>text="万花" font=229 link="NPCGuide/835"</text><text>text="、" font=18</text><text>text="藏剑" font=229 link="NPCGuide/836"</text><text>text="、" font=18</text><text>text="明教" font=229 link="NPCGuide/837"</text><text>text="、" font=18</text><text>text="天策·战乱" font=229 link="NPCGuide/840"</text><text>text="、" font=18</text><text>text="丐帮" font=229 link="NPCGuide/838"</text><text>text="、" font=18</text><text>text="苍云" font=229 link="NPCGuide/839"</text><text>text="、" font=18</text><text>text="长歌" font=229 link="NPCGuide/901"</text><text>text="、" font=18</text><text>text="霸刀" font=229 link="NPCGuide/990"</text><text>text="。" font=18</text>	<text>text="每天可获得1000修为和10%的当前升级所需阅历。" font=18</text>	<text>text="各门派大师兄全天在门派中教习武艺，各派弟子可回门派观摩。\\\n在门派大师兄演武的间隙可以在【茶几】处喝茶，获得1000修为和10%当前升级所需阅历的奖励。" font=18</text>	3			ui\Image\Active\活动场景\勤修不辍.演武.tga	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QinXiuYanwu.tga						3899	1							0~999			12	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QinXiuYanwu.tga
125	勤修不辍·师门·父活动		2		1	0	0	0			4		勤修不辍·师门·父活动				3																		0~999				
127	赛马·报名	全天开放，每隔10分钟一场。	4		80		0	0					个人可参与	<text>text="       " font=202</text><text>text="侠士可在苍山洱海场景中的" font=18</text><text>text="马场区域" font=167</text><text>text="找" font=18</text><text>text="赛马报名人" font=168 link="NPCGuide/388"</text><text>text="参加本活动。\\\n" font=18</text>	<text>text="        每日首次完成比赛后可获得100金和一个三级草料的日常奖励。进入排名的玩家还可获得额外的金钱和草料奖励。" font=18</text>	<text>text="        " font=202</text><text>text="1、参加本活动需交付50银的报名费。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、本活动分为报名阶段和比赛阶段，报名阶段时长为4分钟，比赛阶段时长为5分钟，比赛结束后会有1分钟的赛场清理时间。成功报名的玩家可找接引人传送进入比赛准备区。\\\n" font=18</text><text>text="        " font=202</text><text>text="3、比赛阶段开始后玩家可以接取赛道中的残页，习得招式，并且施放该招式后需要接取另一个残页才可再次激活招式。\\\n        4、未报名的侠士不可随意进出比赛区域。" font=18</text>			0	ui\Image\Active\saima1.tga															0~999				
128	赛马·比赛		2	3	80			0			0			<text>text="找" font=18</text><text>text="太原" font=229 link="NPCGuide/858"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/826"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/841"</text><text>text="或" font=18</text><text>text="苍山洱海" font=229 link="NPCGuide/388"</text><text>text="的赛马报名人参加活动。" font=18</text>		<text>text="1、比赛开始后玩家可以接取赛道中的残页，习得招式。\\\n2、全天开放，每隔10分钟一场。\\\n" font=18</text>			0	ui\Image\Active\活动场景\赛马.tga	ui\Image\Active\活动场景\赛马.tga						4127	1	1						0~999			22	ui\Image\Active\ActivityFistPage\RecommendSmall\RecommendSmall_SaiMa.tga
129	驯马1号		2		1	0	0	0			4						3																		0~999				
130	驯马2号		2		1	0	0	0			4						3																		0~999				
131	驯马3号		2		1	0	0	0			4						3																		0~999				
132	勤修不辍	全天开启。	2	3	30			0			1			<text>text="可在" font=18</text><text>text="太原" font=229 link="NPCGuide/857"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/842"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/843"</text><text>text="或本门派的活动任务牌处接取勤修不辍任务，后在本门派任务指引人处接取勤修不辍任务。" font=18</text>		<text>text="1、完成三次随机任务，即可完成本门的勤修不辍任务。\\\n2、完成随机任务时，还可以获得对应门派声望，直到声望达到尊敬。" font=18</text>			2	ui\Image\Active\活动场景\勤修不辍.tga	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QinXiuBuChuo.tga						4123	3							0~999			21	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_QinXiuBuChuo.tga
133	驯马4号		2		1	0	0	0			4						3																		0~999				
134	驯马5号		2		1	0	0	0			4						3																		0~999				
135	试炼之地		4	3	95		1	0			0		单人	<text>text="可在" font=18</text><text>text="太原" font=229 link="NPCGuide/859"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/277"</text><text>text="或" font=18</text><text>text="成都" font=229 link="NPCGuide/277"</text><text>text="日常区的神秘老者处进入试炼之地。" font=18</text>		<text>text="1、每通关一层可获得一次翻牌奖励的机会。\\\n2、通关的层数越高，通关评分越高，收益越高。\\\n" font=18</text>	4		0	ui\Image\Active\活动场景\试炼之地.tga	ui\Image\Active\活动场景\试炼之地.tga														0~999			23	ui\Image\Active\活动场景\试炼之地.tga
136	三国古战场		3	4	95		5	0			1		15人对抗	<text>text="可前往" font=18</text><text>text="扬州" font=229 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=229 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队。" font=18</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、中午12点~次日凌晨1点开放，12点开始时即可获得战阶积分和每日首胜额外奖励。" font=18</text>	3	30;10;0;	0	ui\Image\Active\活动场景\三国古战场.tga	ui\Image\Active\活动场景\三国古战场.tga						4122	1	1						0~999			25	ui\Image\Active\活动场景\三国古战场.tga
137	三国古战场		3	4	95		5	0			1		15人对抗	<text>text="可前往" font=18</text><text>text="扬州" font=229 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=229 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队。" font=18</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、中午12点~次日凌晨1点开放，12点开始时即可获得战阶积分和每日首胜额外奖励。" font=18</text>	3	30;10;0;	0	ui\Image\Active\活动场景\三国古战场.tga	ui\Image\Active\活动场景\三国古战场.tga						4122	1	1						0~999			25	ui\Image\Active\活动场景\三国古战场.tga
138	赛马总开关		4		80	0	0	0			4						3									0	0	0							0~999				
139	套马开关		2		1;	0	0	0			4						3									0	0	0							0~999				
141	声望·苍山洱海	今日7：00~次日6：59。	2		80	0	0	0					个人参与	<text>text="        完成" font=18</text><text>text="苍山洱海" font=168 link="NPCGuide/278"</text><text>text="的一系列任务后可以接取。" font=18</text>	<text>text="        145~183金，840~1040点无愧南灵声望，7~8个" font=198</text><text>text="青铜宝箱" font=198 link="ItemLinkInfo/5/6253"</text><text>text="。" font=198</text>	<text>text="        " font=18</text><text>text="预计所需时间25分钟" font=168</text><text>text="\\\n        1、可前往苍山洱海的" font=18</text><text>text="莫雨" font=168 link="NPCGuide/279"</text><text>text="处接取起始任务，完成该系列任务后开启无愧南灵声望日常。\\\n        2、声望中立、友好时可以在苍山洱海的洱月村内接受任务。\\\n        3、声望亲密之后，完成相关剧情任务，可以到苍山洱海的风城内接受任务。\\\n        4、无愧南灵声望达到友好可以购买" font=18</text><text>text="265品项链" font=74</text><text>text="。\\\n        5、无愧南灵声望达到达到亲密可以购买各种生活技能配方、打折的1~2级牧草。\\\n        6、无愧南灵声望达到达到敬重后可购买" font=18</text><text>text="275品戒指" font=74</text><text>text="，" font=18</text><text>text="马驹·滇池驹" font=77 link="ItemLinkInfo/5/17156"</text><text>text="。\\\n        7、无愧南灵声望达到达到尊敬后可购买" font=18</text><text>text="290品下装" font=74</text><text>text="。" font=18</text>	2			ui\Image\Active\cangshanerhai1.tga						0	0	0							0~999				
142	隐元追缉令发奖活动		4		1	0	1	0			4						3									0	0	0							0~999				
143	洱海夺马		4	5	90	0	17	0			4			<text>text="        活动开启后在苍山洱海参与活动。" font=18</text>		<text>text="        1、活动一阶段，找到并击败盗马贼首领。\\\n        2、每周五、周六、周日晚9点至10点。\\\n        3、阵营玩家击败对立阵营的运马首领后玩家可捕捉对方阵营押运的马驹。\\\n \\\n" font=18</text>	3			ui\Image\Active\活动场景\洱海夺马.tga	ui\Image\Active\活动场景\洱海夺马.tga					0	0	0		0					0~999	105;		22	ui\Image\Active\活动场景\洱海夺马.tga
144	宠物龟蛋刷新		2		1	0	0	0			4						3																		0~999				
145	涅槃分支控制活动		2		1	0	1	0			4						3									0	0	0		0					0~999				
149	流寇入侵		4		1	0	1	0			4						3									0	0	0		0					0~999				
151	藏剑-叶凡迎亲		4	4	20		21				0		全民参与	<text>text="可在藏剑山庄的" font=18</text><text>text="千叶" font=229 link="NPCGuide/786"</text><text>text="处接取任务后前往" font=18</text><text>text="活动地点" font=229 link="NPCGuide/796"</text><text>text="参与活动。" font=18</text>		<text>text="活动19点整开启，参与度越高获得奖励越丰厚。" font=18</text>				ui\Image\Active\活动场景\藏剑门派事件.tga	ui\Image\Active\活动场景\藏剑门派事件.tga	0				425									0~999	49;		10	ui\Image\Active\活动场景\藏剑门派事件.tga
152	七秀-比武大会		4	4	20		21				0			<text>text="可在七秀坊的" font=18</text><text>text="绣袖" font=229 link="NPCGuide/785"</text><text>text="处接取任务后前往" font=18</text><text>text="活动地点" font=229 link="NPCGuide/795"</text><text>text="参与活动。" font=18</text>		<text>text="活动19点整开启，参与度越高获得奖励越丰厚。" font=18</text>				ui\Image\Active\活动场景\七秀门派事件.tga	ui\Image\Active\活动场景\七秀门派事件.tga	0				423									0~999	16;		10	ui\Image\Active\活动场景\七秀门派事件.tga
153	天策-狩猎围场		4	4	20		21				0			<text>text="可在" font=7</text><text>text="天策府" font=7 link="NPCGuide/100"</text><text>text="的" font=7</text><text>text="君傲城" font=229 link="NPCGuide/784"</text><text>text="处接取任务后前往" font=18</text><text>text="活动地点" font=229 link="NPCGuide/794"</text><text>text="参与活动。" font=7</text>		<text>text="活动19点整开启，参与度越高获得奖励越丰厚。" font=18</text>				ui\Image\Active\活动场景\天策门派事件.tga	ui\Image\Active\活动场景\天策门派事件.tga	0				422									0~79	11;		10	ui\Image\Active\活动场景\天策门派事件.tga
