LEVEL_ID	DESCRIPTION
59	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
60	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
61	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
62	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
63	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
64	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
65	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
66	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
67	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
68	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
69	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
70	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
71	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
72	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
73	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
74	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
75	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
76	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
77	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
78	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
79	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
80	<text>text="刃锋无暖韵，光冷十四州。\\\n61到80层，为侠士们接受超阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
81	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
82	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
83	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
84	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
85	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
86	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
87	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
88	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
89	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
90	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
91	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
92	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
93	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
94	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
95	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
96	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
97	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
98	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
99	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
100	<text>text="四海飘红意，血煞盖王侯。\\\n80到100层，为侠士们接受极限强度挑战之地。\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
