ID	Group	Region	Name	Type	MiddleMap0	ImagesPath	Tip	movie_id
194	1	1	太原	CITY	太原;太原城		<text>text="太原， 河东道\\\n城市场景\\\n\\\n怪物等级：\\\n90\\\n\\\n任务等级：\\\n90\\\n\\\n矿物：\\\n月锡矿石\\\n赤铁矿石\\\n圳铁矿\\\n禹铜矿\\\n\\\n草药：\\\n麦冬\\\n川贝\\\n虫草\\\n石莲花\\\n彼岸花" font=162</text>	
195	4	1	雁门关之役	DUNGEON	雁门关之役		<text>text="雁门关之役：25+(5人)/90+(5人)" font=162</text>	
196	4	1	雁门关之役	DUNGEON	雁门关之役		<text>text="雁门关之役：25+(5人)/90+(5人)" font=162</text>	
197	2	1	苍云血誓	OTHER	苍云血誓		<text>text="苍云， 河东道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 25\\\n49 - 50\\\n\\\n任务等级：\\\n15 - 25\\\n49 - 50\\\n\\\n矿物：\\\n锌矿\\\n铅矿\\\n\\\n草药：\\\n天名精\\\n防风\\\n相思子\\\n车前草" font=162</text>	71
198	4	1	英雄太原之战·夜守孤城	RAID	英雄太原之战·夜守孤城		<text>text="太原之战·夜守孤城：90+(10人)/90+(25人)" font=162</text>	
199	4	1	英雄太原之战·逐虎驱狼	RAID	英雄太原之战·逐虎驱狼		<text>text="太原之战·逐虎驱狼：90+(10人)/90+(25人)" font=162</text>	
200	4	3	璨翠海厅	DUNGEON	璨翠海厅		<text>text="璨翠海厅：90+(5人)" font=162</text>	
203	4	1	天泣林	DUNGEON	天泣林		<text>text="天泣林：90+(5人)/95+(5人)" font=162</text>	
204	4	1	阴山圣泉	DUNGEON	阴山圣泉		<text>text="阴山圣泉：90+(5人)/95+(5人)" font=162</text>	
205	4	1	25人挑战太原之战·夜守孤城	RAID	25人挑战太原之战·夜守孤城		<text>text="太原之战·夜守孤城：90+(10人)/90+(25人)" font=162</text>	
206	4	1	25人挑战太原之战·逐虎驱狼	RAID	25人挑战太原之战·逐虎驱狼		<text>text="太原之战·逐虎驱狼：90+(10人)/90+(25人)" font=162</text>	
209	4	1	梵空禅院	DUNGEON	梵空禅院		<text>text="梵空禅院：90+(5人)/95+(5人)" font=162</text>	
211	4	1	10人挑战太原之战·夜守孤城	RAID	10人挑战太原之战·夜守孤城		<text>text="太原之战·夜守孤城：90+(10人)/90+(25人)" font=162</text>	
212	4	1	10人挑战太原之战·逐虎驱狼	RAID	10人挑战太原之战·逐虎驱狼		<text>text="太原之战·逐虎驱狼：90+(10人)/90+(25人)" font=162</text>	
213	2	2	长歌门	SCHOOL	长歌门		<text>text="长歌， 江南东道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 25\\\n49 - 50\\\n\\\n任务等级：\\\n15 - 25\\\n49 - 50\\\n\\\n矿物：\\\n锌矿\\\n铅矿\\\n\\\n草药：\\\n天名精\\\n防风\\\n相思子\\\n车前草" font=162</text>	71
214	3	1	五台山	VILLAGE	五台山		<text>text="五台山， 河东道\\\n野外场景\\\n\\\n怪物等级：\\\n91 - 93\\\n\\\n任务等级：\\\n90 - 94\\\n\\\n矿物：\\\n天青石矿\\\n烟雨石矿\\\n\\\n草药：\\\n白术\\\n紫苏"" font=162</text>	
215	3	2	千岛湖	VILLAGE	千岛湖		<text>text="千岛湖， 江南东道\\\n野外场景\\\n\\\n怪物等级：\\\n91 - 93\\\n\\\n任务等级：\\\n90 - 94\\\n\\\n矿物：\\\n天青石矿\\\n烟雨石矿\\\n\\\n草药：\\\n白术\\\n紫苏"" font=162</text>	
216	3	1	阴山大草原	VILLAGE	阴山大草原		<text>text="阴山大草原， 关内道\\\n野外场景\\\n\\\n怪物等级：\\\n91 - 93\\\n\\\n任务等级：\\\n90 - 94\\\n\\\n矿物：\\\n天青石矿\\\n烟雨石矿\\\n\\\n草药：\\\n白术\\\n紫苏"" font=162</text>	
217	3	1	黑戈壁	VILLAGE	黑戈壁		<text>text="黑戈壁， 陇右道\\\n野外场景\\\n\\\n怪物等级：\\\n91 - 93\\\n\\\n任务等级：\\\n90 - 94\\\n\\\n矿物：\\\n天青石矿\\\n烟雨石矿\\\n\\\n草药：\\\n白术\\\n紫苏"" font=162</text>	
218	4	2	引仙水榭	DUNGEON	引仙水榭		<text>text="引仙水榭：90+(5人)/95+(5人)" font=162</text>	
219	4	2	微山书院	DUNGEON	微山书院		<text>text="微山书院：25+(5人)/95+(5人)" font=162</text>	
220	4	2	永王行宫·仙侣庭园	RAID	永王行宫·仙侣庭园		<text>text="永王行宫·仙侣庭园：95+(10人)/95+(25人)" font=162</text>	
221	4	2	永王行宫·花月别院	RAID	永王行宫·花月别院		<text>text="永王行宫·花月别院：95+(10人)/95+(25人)" font=162</text>	
222	4	3	挑战璨翠海厅	DUNGEON	挑战璨翠海厅		<text>text="璨翠海厅：90+(5人)" font=162</text>	
224	4	1	英雄天泣林	DUNGEON	英雄天泣林		<text>text="英雄天泣林：90+(5人)/95+(5人)" font=162</text>	
225	4	2	英雄微山书院	DUNGEON	英雄微山书院		<text>text="英雄微山书院：25+(5人)/95+(5人)"" font=162</text>	
227	4	1	英雄阴山圣泉	DUNGEON	英雄阴山圣泉		<text>text="英雄阴山圣泉：90+(5人)/95+(5人)" font=162</text>	
228	4	1	英雄梵空禅院	DUNGEON	英雄梵空禅院		<text>text="英雄梵空禅院：90+(5人)/95+(5人)" font=162</text>	
229	4	2	英雄引仙水榭	DUNGEON	英雄引仙水榭		<text>text="英雄引仙水榭：90+(5人)/95+(5人)" font=162</text>	
230	4	2	英雄永王行宫·花月别院	RAID	英雄永王行宫·花月别院		<text>text="英雄永王行宫·花月别院：95+(10人)/95+(25人)" font=162</text>	
231	4	2	英雄永王行宫·仙侣庭园	RAID	英雄永王行宫·仙侣庭园		<text>text="英雄永王行宫·仙侣庭园：95+(10人)/95+(25人)" font=162</text>	
232	4	2	试炼永王行宫·仙侣庭园	RAID	试炼·仙侣庭园		<text>text="试炼永王行宫·仙侣庭园：95+(10人)/95+(25人)" font=162</text>	
233	4	2	试炼永王行宫·花月别院	RAID	试炼·花月别院		<text>text="试炼永王行宫·花月别院：95+(10人)/95+(25人)" font=162</text>	
234	4	2	10人挑战永王行宫·仙侣庭园	RAID	10人挑战永王行宫·仙侣庭园		<text>text="永王行宫·仙侣庭园：95+(10人)/95+(25人)" font=162</text>	
235	4	2	10人挑战永王行宫·花月别院	RAID	10人挑战永王行宫·花月别院		<text>text="永王行宫·花月别院：95+(10人)/95+(25人)" font=162</text>	
236	4	2	25人挑战永王行宫·仙侣庭园	RAID	25人挑战永王行宫·仙侣庭园		<text>text="英雄永王行宫·仙侣庭园：95+(10人)/95+(25人)" font=162</text>	
237	4	2	25人挑战永王行宫·花月别院	RAID	25人挑战永王行宫·花月别院		<text>text="英雄永王行宫·花月别院：95+(10人)/95+(25人)" font=162</text>	
238	9	0	青竹书院	ARENA	青竹书院		<text>text="名剑大会 - 天山碎冰谷" font=162</text>	
239	3	1	洛阳城	CITY	洛阳城		<text>text="洛阳城， 都畿道\\\n城市场景\\\n\\\n怪物等级：\\\n95\\\n\\\n任务等级：\\\n95\\\n\\\n矿物：\\\n天青石矿\\\n烟雨石矿\\\n\\\n草药：\\\n白术\\\n紫苏"" font=162</text>	
240	4	1	上阳宫·观风殿	RAID	上阳宫·观风殿		<text>text="上阳宫·观风殿：95+(10人)/95+(25人)" font=162</text>	
241	4	1	上阳宫·双曜亭	RAID	上阳宫·双曜亭		<text>text="上阳宫·双曜亭：95+(10人)/95+(25人)" font=162</text>	
242	4	3	白帝水宫	DUNGEON	白帝水宫		<text>text="白帝水宫：95+(5人)" font=162</text>	
243	2	1	霸刀山庄	SCHOOL	霸刀山庄		<text>text="霸刀山庄， 河东道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 25\\\n49 - 50\\\n\\\n任务等级：\\\n15 - 25\\\n49 - 50\\\n\\\n矿物：\\\n铜矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>	71
244	4	3	挑战白帝水宫	DUNGEON	挑战白帝水宫		<text>text="白帝水宫：95+(5人)" font=162</text>	
245	4	0	大梦迷境	OTHER	大梦迷境			
246	4	0	星海幻景	OTHER	星海幻景			
247	4	0	梦回稻香		梦回稻香			
248	4	1	英雄上阳宫·观风殿	RAID	英雄上阳宫·观风殿		<text>text="英雄上阳宫·观风殿：95+(10人)/95+(25人)" font=162</text>	
249	4	1	英雄上阳宫·双曜亭	RAID	英雄上阳宫·双曜亭		<text>text="英雄上阳宫·双曜亭：95+(10人)/95+(25人)" font=162</text>	
250	4	1	试炼上阳宫·观风殿	RAID	试炼上阳宫·观风殿		<text>text="试炼上阳宫·观风殿：95+(10人)/95+(25人)" font=162</text>	
251	4	1	试炼上阳宫·双曜亭	RAID	试炼上阳宫·双曜亭		<text>text="试炼上阳宫·双曜亭：95+(10人)/95+(25人)" font=162</text>	
256	4	3	夕颜阁	DUNGEON	夕颜阁		<text>text="夕颜阁：25+(5人)/95+(5人)" font=162</text>	
257	4	3	英雄夕颜阁	DUNGEON	英雄夕颜阁		<text>text="英雄夕颜阁：95+(5人)" font=162</text>	
258	4	0	素月清秋	OTHER	素月清秋			
259	4	3	竞技大师-华山之巅	VILLAGE	竞技大师-华山之巅			
260	4	3	挑战夕颜阁	DUNGEON	挑战夕颜阁		<text>text="挑战夕颜阁：95+(5人)" font=162</text>	
261	4	0	天街灯市	OTHER	天街灯市			
262	4	1	刀轮海厅	DUNGEON	刀轮海厅		<text>text="刀轮海厅：95+(5人)/95+（5人）" font=162</text>	
263	4	1	风雷刀谷·锻刀厅	RAID	风雷刀谷·锻刀厅		<text>text="风雷刀谷·锻刀厅：95+(10人)/95+(25人)" font=162</text>	
264	4	1	风雷刀谷·千雷殿	RAID	风雷刀谷·千雷殿		<text>text="风雷刀谷·千雷殿：95+(10人)/95+(25人)" font=162</text>	
265	0	0	天街灯市·春节·福	CITY	天街灯市·春节·福			0
266	0	0	天街灯市·春节·禄	CITY	天街灯市·春节·禄			0
267	0	0	天街灯市·春节·寿	CITY	天街灯市·春节·寿			0
268	0	0	天街灯市·春节·祥	CITY	天街灯市·春节·祥			0
269	0	0	天街灯市·春节·禧	CITY	天街灯市·春节·禧			0
270	4	1	英雄风雷刀谷·千雷殿	RAID	英雄风雷刀谷·千雷殿		<text>text="英雄风雷刀谷·千雷殿：95+(10人)/95+(25人)" font=162</text>	
271	4	1	英雄风雷刀谷·锻刀厅	RAID	英雄风雷刀谷·锻刀厅		<text>text="英雄风雷刀谷·锻刀厅：95+(10人)/95+(25人)" font=162</text>	
272	4	1	试炼风雷刀谷·千雷殿	RAID	试炼风雷刀谷·千雷殿		<text>text="试炼风雷刀谷·千雷殿：95+(10人)/95+(25人)" font=162</text>	
273	4	1	试炼风雷刀谷·锻刀厅	RAID	试炼风雷刀谷·锻刀厅		<text>text="试炼风雷刀谷·锻刀厅：95+(10人)/95+(25人)" font=162</text>	
274	0	0	天街灯市	DUNGEON	天街灯市			0
275	4	1	挑战刀轮海厅	DUNGEON	挑战刀轮海厅		<text>text="挑战刀轮海厅：95+(5人)/95+（5人）" font=162</text>	
276	8	0	拭剑园	OTHER	拭剑园			
277	9	0	拭剑台	ARENA	拭剑台		<text>text="名剑大会 - 拭剑台" font=162</text>	
278	8	0	拭剑园	OTHER	拭剑园			
279	8	0	拭剑园	OTHER	拭剑园			
280	8	0	拭剑园	OTHER	拭剑园			
281	8	0	拭剑园	OTHER	拭剑园			

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
