id	content
514	\n\n【羔裘】\n\n\n　　　　羔裘如濡，洵直且侯。\n\n　　　　彼其之子，舍命不渝。\n\n　　　　羔裘豹饰，孔武有力。\n\n　　　　彼其之子，邦之司直。\n\n　　　　羔裘晏兮，三英粲兮。\n\n　　　　彼其之子，邦之彦兮。
515	\n\n【有女同车】\n\n\n\n　　　　有女同车，颜如舜华。\n　　　　将翱将翔，佩玉琼琚。\n　　　　彼美孟姜，洵美且都。\n\n\n　　　　有女同行，颜如舜英。\n　　　　将翱将翔，佩玉将将。\n　　　　彼美孟姜，德音不忘。
516	\n\n\n\n【狡童】\n\n\n　　　彼狡童兮，不与我言兮。\n　　　维子之故，使我不能餐兮。\n\n　　　彼狡童兮，不与我食兮。\n　　　维子之故，使我不能息兮。
517	\n\n【风雨】\n\n\n　　　风雨凄凄，鸡鸣喈喈，既见君子。\n\n　　　云胡不夷？风雨潇潇，鸡鸣胶胶。\n\n　　　既见君子，云胡不瘳？\n\n　　　风雨如晦，鸡鸣不已。\n\n　　　既见君子，云胡不喜？
518	\n\n\n【东方之日】\n\n\n\n　　东方之日兮，彼姝者子，在我室兮。\n　　在我室兮，履我即兮。\n\n\n　　东方之月兮，彼姝者子，在我闼兮。\n　　在我闼兮，履我发兮。
519	\n\n\n【子衿】\n\n\n　　　青青子衿，悠悠我心。\n　　　纵我不往，子宁不嗣音？\n\n　　　青青子佩，悠悠我思。\n　　　纵我不往，子宁不来？\n\n　　　挑兮达兮，在城阙兮。\n　　　一日不见，如三月兮。
520	\n\n【扬之水】\n\n\n\n　　　扬之水，不流束楚。\n　　　终鲜兄弟，维予与女。\n　　　无信人之言，人实诳女。\n\n　　　扬之水，不流束薪。\n　　　终鲜兄弟，维予二人。\n　　　无信人之言，人实不信。
521	\n【出其东门】\n\n\n　　　出其东门，有女如云。\n\n　　　虽则如云。匪我思存。\n\n　　　缟衣綦巾，聊乐我员。\n\n　　　出其闉阇，有女如荼。\n\n　　　虽则如荼，匪我思且。\n\n　　　缟衣茹藘，聊可与娱。
522	\n\n\n\n【野有蔓草】\n\n\n　　　野有蔓草，零露漙兮。\n　　　有美一人，清扬婉兮。\n　　　邂逅相遇，适我愿兮。\n\n　　　野有蔓草，零露瀼瀼。\n　　　有美一人，婉如清扬。\n　　　邂逅相遇，与子偕臧。
523	\n\n\n【鸡鸣】\n\n\n　　　鸡既鸣矣，朝既盈矣。\n　　　匪鸡则鸣，苍蝇之声。\n\n　　　东方明矣，朝既昌矣。\n　　　匪东方则明，月出之光。\n\n　　　虫飞薨薨，甘与子同梦。\n　　　会且归矣，无庶予子憎。
524	\n\n\n【新台】\n\n\n　　　新台有泚，河水弥弥。\n　　　燕婉之求，蘧篨不鲜。\n\n　　　新台有洒，河水浼浼。\n　　　燕婉之求，蘧篨不殄。\n\n　　　鱼网之设，鸿则离之。\n　　　燕婉之求，得此戚施。
525	\n\n\n\n【二子乘舟】\n\n\n\n　　　二子乘舟，泛泛其景。\n　　　愿言思子，中心养养！\n\n　　　二子乘舟，泛泛其逝。\n　　　愿言思子，不瑕有害？
526	\n\n【墙有茨】\n\n\n　　　墙有茨，不可扫也。\n　　　中冓之言，不可道也。\n　　　所可道也，言之丑也。\n\n　　　墙有茨，不可襄也。\n　　　中冓之言，不可详也。\n　　　所可详也，言之长也。\n\n　　　墙有茨，不可束也。\n　　　中冓之言，不可读也。\n　　　所可读也，言之辱也。
527	\n\n\n\n【鹑之奔奔】\n\n\n\n　　　鹑之奔奔，鹊之彊彊。\n　　　人之无良，我以为兄！\n\n　　　鹊之彊彊，鹑之奔奔。\n　　　人之无良，我以为君！
528	\n\n\n【相鼠】\n\n\n　　　相鼠有皮，人而无仪！\n　　　人而无仪，不死何为？\n\n　　　相鼠有齿，人而无止！\n　　　人而无止，不死何俟？\n\n　　　相鼠有体，人而无礼，\n　　　人而无礼！胡不遄死？
529	\n\n\n【考槃】\n\n\n　　　　考槃在涧，硕人之宽。\n　　　　独寐寤言，永矢弗谖。\n\n　　　　考槃在阿，硕人之薖。\n　　　　独寐寤歌，永矢弗过。\n\n　　　　考槃在陆，硕人之轴。\n　　　　独寐寤宿，永矢弗告。
530	\n\n\n【河广】\n\n\n\n　　　　谁谓河广？一苇杭之。\n　　　　谁谓宋远？跂予望之。\n\n　　　　谁谓河广？曾不容刀。\n　　　　谁谓宋远？曾不崇朝。
531	\n\n\n【有狐】\n\n\n　　　有狐绥绥，在彼淇梁。\n　　　心之忧矣，之子无裳。\n\n　　　有狐绥绥，在彼淇厉。\n　　　心之忧矣，之子无带。\n\n　　　有狐绥绥，在彼淇侧。\n　　　心之忧矣，之子无服。
532	【硕鼠】\n\n\n　　　硕鼠硕鼠，无食我黍！\n　　　三岁贯女，莫我肯顾。\n　　　逝将去女，适彼乐土。\n　　　乐土乐土，爰得我所。\n\n　　　硕鼠硕鼠，无食我麦！\n　　　三岁贯女，莫我肯德。\n　　　逝将去女，适彼乐国。\n　　　乐国乐国，爰得我直。\n\n　　　硕鼠硕鼠，无食我苗！\n　　　三岁贯女，莫我肯劳。\n　　　逝将去女，适彼乐郊。\n　　　乐郊乐郊，谁之永号？
533	\n\n\n【无衣】\n\n\n\n　　　　岂曰无衣七兮？\n\n　　　　不如子之衣，安且吉兮！\n\n　　　　岂曰无衣六兮？\n\n　　　　不如子之衣，安且燠兮！
534	　\n\n【车邻】\n\n\n　　　有车邻邻，有马白颠。\n　　　未见君子，寺人之令。\n\n　　　阪有漆，隰有栗。\n　　　既见君子，并坐鼓瑟。\n　　　今者不乐，逝者其耋。\n\n　　　阪有桑，隰有杨。\n　　　既见君子，并坐鼓簧。\n　　　今者不乐，逝者其亡。
535	【蒹葭】\n\n\n　　　蒹葭苍苍，白露为霜。\n　　　所谓伊人，在水一方，\n　　　溯洄从之，道阻且长。\n　　　溯游从之，宛在水中央。\n\n　　　蒹葭萋萋，白露未晞。\n　　　所谓伊人，在水之湄。\n　　　溯洄从之，道阻且跻。\n　　　溯游从之，宛在水中坻。\n\n　　　蒹葭采采，白露未已。\n　　　所谓伊人，在水之涘。\n　　　溯洄从之，道阻且右。\n　　　溯游从之，宛在水中沚。
536	\n\n\n【终南】\n\n\n\n　　　终南何有？有条有梅。\n　　　君子至止，锦衣狐裘。\n　　　颜如渥丹，其君也哉！\n\n　　　终南何有？有纪有堂。\n　　　君子至止，黻衣绣裳。\n　　　佩玉将将，寿考不忘！
537	\n\n\n\n\n【渭阳】\n\n\n　　　我送舅氏，曰至渭阳。\n　　　何以赠之？路车乘黄。\n\n　　　我送舅氏，悠悠我思。\n　　　何以赠之？琼瑰玉佩。
538	\n\n【宛丘】\n\n\n\n　　　　子之汤兮，宛丘之上兮。\n　　　　洵有情兮，而无望兮。\n\n　　　　坎其击鼓，宛丘之下。\n　　　　无冬无夏，值其鹭羽。\n\n　　　　坎其击缶，宛丘之道。\n　　　　无冬无夏，值其鹭翿。
539	\n\n\n【月出】\n\n\n　　　月出皎兮。佼人僚兮。\n　　　舒窈纠兮。劳心悄兮。\n\n　　　月出皓兮。佼人懰兮。\n　　　舒忧受兮。劳心慅兮。\n\n　　　月出照兮。佼人燎兮。\n　　　舒夭绍兮。劳心惨兮。
540	\n\n【鸿雁】\n\n\n\n　　鸿雁于飞，肃肃其羽。之子于征，\n　　劬劳于野。爰及矜人，哀此鳏寡。\n\n　　鸿雁于飞，集于中泽。之子于垣，\n　　百堵皆作。虽则劬劳，其究安宅？\n\n　　鸿雁于飞，哀鸣嗷嗷。维此哲人，\n　　谓我劬劳。维彼愚人，谓我宣骄。
541	【白驹】\n\n\n　　　　皎皎白驹，食我场苗。\n　　　　絷之维之，以永今朝。\n　　　　所谓伊人，于焉逍遥？\n\n　　　　皎皎白驹，食我场藿。\n　　　　絷之维之，以永今夕。\n　　　　所谓伊人，于焉嘉客？\n\n　　　　皎皎白驹，贲然来思。\n　　　　尔公尔侯，逸豫无期？\n　　　　慎尔优游，勉尔遁思。\n\n　　　　皎皎白驹，在彼空谷。\n　　　　生刍一束，其人如玉。\n　　　　毋金玉尔音，而有遐心。
542	\n\n【谷风】\n\n\n\n　　习习谷风，维风及雨。将恐将惧，\n　　维予与女。将安将乐，女转弃予。\n\n　　习习谷风，维风及颓。将恐将惧，\n　　置予于怀。将安将乐，弃予如遗。\n\n　　习习谷风，维山崔嵬。无草不死，\n　　无木不萎。忘我大德，思我小怨。
543	\n\n\n【苕之华】\n\n\n　　　　苕之华，芸其黄矣。\n　　　　心之忧矣，维其伤矣！\n\n　　　　苕之华，其叶青青。\n　　　　知我如此，不如无生！\n\n　　　　牂羊坟首，三星在罶。\n　　　　人可以食，鲜可以饱！
544	\n\n\n【维天之命】\n\n\n\n　　　　维天之命，于穆不已。\n\n　　　　于乎不显，文王之德之纯。\n\n　　　　假以溢我，我其收之。\n\n　　　　骏惠我文王，曾孙笃之。
545	\n\n\n【我将】\n\n\n\n　　我将我享，维羊维牛，维天其右之。\n\n　　仪式刑文王之典，日靖四方。\n\n　　伊嘏文王，既右飨之。\n\n　　我其夙夜，畏天之威，于时保之。
546	　\n\n【臣工】\n\n\n　　　　嗟嗟臣工，敬尔在公。\n　　　　王厘尔成，来咨来茹。\n\n　　　　嗟嗟保介，维莫之春，\n　　　　亦又何求？如何新畲？\n\n　　　　于皇来牟，将受厥明。\n　　　　明昭上帝，迄用康年。\n\n　　　　命我众人：庤乃钱镈，\n　　　　奄观铚艾。
547	\n\n\n【丝衣】\n\n\n\n　　　丝衣其紑，载弁俅俅。\n\n　　　自堂徂基，自羊徂牛。\n\n　　　鼐鼎及鼒，兕觥其觩。\n\n　　　旨酒思柔，不吴不敖，胡考之休。
548	【秋夜长】\n　　　　王勃\n\n　　　秋夜长，殊未央，\n　　　月明白露澄清光，层城绮阁遥相望。\n\n　　　遥相望，川无梁，\n　　　北风受节南雁翔，崇兰委质时菊芳。\n　　　鸣环曳履出长廊，为君秋夜捣衣裳。\n\n　　　纤罗对凤凰，丹绮双鸳鸯，\n　　　调砧乱杵思自伤。\n\n　　　思自伤，征夫万里戍他乡。\n　　　鹤关音信断，龙门道路长。\n　　　君在天一方，寒衣徒自香。
549	\n\n【滕王阁】\n　　　　王勃\n\n\n\n　　滕王高阁临江渚，珮玉鸣鸾罢歌舞。\n\n　　画栋朝飞南浦云，珠帘暮卷西山雨。\n\n　　闲云潭影日悠悠，物换星移几度秋。\n\n　　阁中帝子今何在，槛外长江空自流。
550	\n【江南弄】\n　　　王勃\n\n\n　　　　江南弄，巫山连楚梦，\n　　　　行雨行云几相送。\n\n　　　　瑶轩金谷上春时，\n　　　　玉童仙女无见期。\n\n　　　　紫露香烟渺难托，\n　　　　清风明月遥相思。\n\n　　　　遥相思，草徒绿，\n　　　　为听双飞凤凰曲。
551	\n\n\n【山亭夜宴】\n　　　　　王勃\n\n\n　　　桂宇幽襟积，山亭凉夜永。\n\n　　　森沉野径寒，肃穆岩扉静。\n\n　　　竹晦南汀色，荷翻北潭影。\n\n　　　清兴殊未阑，林端照初景。
552	\n\n\n【咏风】\n　　　王勃\n\n\n　　　肃肃凉景生，加我林壑清。\n\n　　　驱烟寻涧户，卷雾出山楹。\n\n　　　去来固无迹，动息如有情。\n\n　　　日落山水静，为君起松声。
553	\n\n【怀仙】王勃\n\n\n　　　鹤岑有奇径，麟洲富仙家。\n\n　　　紫泉漱珠液，玄岩列丹葩。\n\n　　　常希披尘网，眇然登云车。\n\n　　　鸾情极霄汉，凤想疲烟霞。\n\n　　　道存蓬瀛近，意惬朝市赊。\n\n　　　无为坐惆怅，虚此江上华。
554	\n【杂曲】\n　　　王勃\n\n\n\n　　　智琼神女，来访文君。\n\n　　　蛾眉始约，罗袖初薰。\n\n　　　歌齐曲韵，舞乱行纷。\n\n　　　若向阳台荐枕，何啻得胜朝云。
555	\n\n\n【塞下曲其一】、\n\n\n\n　　蝉鸣空桑林，八月萧关道。\n\n　　出塞入塞寒，处处黄芦草。\n\n　　从来幽并客，皆共尘沙老。\n\n　　莫学游侠儿，矜夸紫骝好。
556	\n\n\n　　　　　塞下曲其二\n\n\n　　饮马渡秋水，水寒风似刀。\n\n　　平沙日未没，黯黯见临洮。\n\n　　昔日长城战，咸言意气高。\n\n　　黄尘足今古，白骨乱蓬蒿。
557	\n\n【塞下曲其三】\n\n\n\n　　奉诏甘泉宫，总征天下兵。\n\n　　朝廷备礼出，郡国豫郊迎。\n\n　　纷纷几万人，去者无全生。\n\n　　臣愿节宫厩，分以赐边城。
558	\n\n\n　　　　　塞下曲其四\n\n\n　　边头何惨惨，已葬霍将军。\n\n　　部曲皆相吊，燕南代北闻。\n\n　　功勋多被黜，兵马亦寻分。\n\n　　更遣黄龙戍，唯当哭塞云。
559	\n\n【初日】\n\n\n　　　　初日净金闺，\n\n　　　　先照床前暖。\n\n　　　　斜光入罗幕，\n\n　　　　稍稍亲丝管。\n\n　　　　云发不能梳。\n\n　　　　杨花更吹满。
560	\n\n\n【从军行其一】\n\n\n　　　　烽火城西百尺楼，\n\n　　　　黄昏独上海风秋。\n\n　　　　更吹羌笛关山月，\n\n　　　　无那金闺万里愁。
561	\n\n【从军行其二】\n\n\n\n　　　琵琶起舞换新声，\n\n　　　总是关山旧别情。\n\n　　　撩乱边愁听不尽，\n\n　　　高高秋月照长城。
562	\n\n\n【从军行其三】\n\n\n\n　　　　关城榆叶早疏黄，\n\n　　　　日暮云沙古战场。\n\n　　　　表请回军掩尘骨，\n\n　　　　莫教兵士哭龙荒。
563	\n\n\n【从军行其四】\n\n\n\n　　　　青海长云暗雪山，\n\n　　　　孤城遥望玉门关。\n\n　　　　黄沙北战穿金甲，\n\n　　　　不破楼兰终不还。
564	\n\n\n【从军行其五】\n\n\n　　　　大漠风尘日色昏，\n\n　　　　红旗半卷出辕门。\n\n　　　　前军夜战洮河北，\n\n　　　　已报生擒吐谷浑。
565	\n\n\n【从军行其六】\n\n\n　　　　胡瓶落膊紫薄汗，\n\n　　　　碎叶城西秋月团。\n\n　　　　明敕星驰封宝剑，\n\n　　　　辞君一夜取楼兰。
566	\n\n\n【从军行其七】\n\n\n　　　　玉门山嶂几千重，\n\n　　　　山北山南总是烽。\n\n　　　　人依远戍须看火，\n\n　　　　马踏深山不见踪。
567	\n\n\n【出塞】\n\n\n\n　　秦时明月汉时关，万里长征人未还。\n　　但使龙城飞将在，不教胡马度阴山。\n\n\n\n　　骝马新跨白玉鞍，战罢沙场月色寒。\n　　城头铁鼓声犹震，匣里金刀血未干。
568	\n\n\n【采莲曲】\n\n\n　吴姬越艳楚王妃，争弄莲舟水湿衣。\n\n　来时浦口花迎入，采罢江头月送归。\n\n\n　荷叶罗裙一色裁，芙蓉向脸两边开。\n\n　乱入池中看不见，闻歌始觉有人来。
569	\n\n【君道曲】\n　　　　李白\n\n\n\n　　大君若天覆，广运无不至。\n\n　　轩后爪牙尝先太山稽，如心之使臂。\n\n　　小白鸿翼于夷吾，刘葛鱼水本无二。\n\n　　土校可成墙，积德为厚地。
570	【久别离】\n　　　　李白\n\n\n　　别来几春未还家，玉窗五见樱桃花。\n\n　　况有锦字书，开缄使人嗟。\n\n　　至此肠断彼心绝。\n\n　　云鬟绿鬓罢梳结，愁如回飙乱白雪。\n\n　　去年寄书报阳台，今年寄书重相催。\n\n　　东风兮东风，为我吹行云使西来。\n\n　　待来竟不来，落花寂寂委青苔。
571	【古朗月行】\n　　　　　李白\n\n　　　　小时不识月，呼作白玉盘。\n\n　　　　又疑瑶台镜，飞在白云端。\n\n　　　　仙人垂两足，桂树作团团。\n\n　　　　白兔捣药成，问言与谁餐。\n\n　　　　蟾蜍蚀圆影，大明夜已残。\n\n　　　　羿昔落九乌，天人清且安。\n\n　　　　阴精此沦惑，去去不足观。\n\n　　　　忧来其如何，凄怆摧心肝。
572	\n【独不见】\n　　　　李白\n\n　　　白马谁家子，黄龙边塞儿。\n\n　　　天山三丈雪，岂是远行时。\n\n　　　春蕙忽秋草，莎鸡鸣西池。\n\n　　　风摧寒棕响，月入霜闺悲。\n\n　　　忆与君别年，种桃齐蛾眉。\n\n　　　桃今百馀尺，花落成枯枝。\n\n　　　终然独不见，流泪空自知。
573	【鸣雁行】\n　　　　李白\n\n\n\n　胡雁鸣，辞燕山，昨发委羽朝度关。\n\n　一一衔芦枝，南飞散落天地间，\n\n　连行接翼往复还。\n\n　客居烟波寄湘吴，凌霜触雪毛体枯。\n\n　畏逢矰缴惊相呼，闻弦虚坠良可吁。\n\n　君更弹射何为乎。
574	【妾薄命】\n　　　　李白\n\n　　　汉帝宠阿娇，贮之黄金屋。\n\n　　　咳唾落九天，随风生珠玉。\n\n　　　宠极爱还歇，妒深情却疏。\n　\n　　　长门一步地，不肯暂回车。\n　\n　　　雨落不上天，水覆难再收。\n\n　　　君情与妾意，各自东西流。\n\n　　　昔日芙蓉花，今成断根草。\n\n　　　以色事他人，能得几时好。
575	　\n　【短歌行】\n　　　　　李白\n\n　　　　白日何短短，百年苦易满。\n\n　　　　苍穹浩茫茫，万劫太极长。\n\n　　　　麻姑垂两鬓，一半已成霜。\n\n　　　　天公见玉女，大笑亿千场。\n\n　　　　吾欲揽六龙，回车挂扶桑。\n\n　　　　北斗酌美酒，劝龙各一觞。\n\n　　　　富贵非所愿，与人驻颜光。
576	\n\n【出石门】\n　　　　骆宾王\n\n\n\n　　　层岩远接天，绝岭上栖烟。\n\n　　　松低轻盖偃，藤细弱丝悬。\n\n　　　石明如挂镜，苔分似列钱。\n\n　　　暂策为龙杖，何处得神仙。
577	\n\n【至分陕】\n　　　　骆宾王\n\n\n\n　　　陕西开胜壤，召南分沃畴。\n\n　　　列树巢维鹊，平渚下睢鸠。\n\n　　　憩棠疑勿剪，曳葛似攀樛。\n\n　　　至今王化美，非独在隆周。
578	\n\n【从军行】\n　　　　骆宾王\n\n\n\n　　　平生一顾重，意气溢三军。\n\n　　　野日分戈影，天星合剑文。\n\n　　　弓弦抱汉月，马足践胡尘。\n\n　　　不求生入塞，唯当死报君。
579	\n\n【王昭君】\n　　　　骆宾王\n\n\n\n　　　敛容辞豹尾，缄恨度龙鳞。\n\n　　　金钿明汉月，玉箸染胡尘。\n\n　　　古镜菱花暗，愁眉柳叶颦。\n\n　　　唯有清笳曲，时闻芳树春。
580	\n\n【渡瓜步江】\n　　　　　骆宾王\n\n\n\n　　　捧檄辞幽径，鸣榔下贵洲。\n\n　　　惊涛疑跃马，积气似连牛。\n\n　　　月迥寒沙净，风急夜江秋。\n\n　　　不学浮云影，他乡空滞留。
581	\n\n【秋日送别】\n　　　　　骆宾王\n\n\n\n　　　寂寥心事晚，摇落岁时秋。\n\n　　　共此伤年发，相看惜去留。\n\n　　　当歌应破涕，哀命返穷愁。\n\n　　　别后能相忆，东陵有故侯。
582	\n\n【冬日宴】\n　　　　骆宾王\n\n\n\n　　　二三物外友，一百杖头钱。\n\n　　　赏洽袁公地，情披乐令天。\n\n　　　促席鸾觞满，当炉兽炭然。\n\n　　　何须攀桂树，逢此自留连。
583	\n\n【咏美人在天津桥】\n　　　　　骆宾王\n\n\n\n　　　美女出东邻，容与上天津。\n\n　　　整衣香满路，移步袜生尘。\n\n　　　水下看妆影，眉头画月新。\n\n　　　寄言曹子建，个是洛川神。
584	\n\n\n【御神】\n\n\n　　外观：长三尺三寸，重六十六两六钱。\n\n　　来历：西湖湖底所得多把古越国宝剑的其中一把，经多道工序，历时五年在高温下精炼而成。\n\n　　下落：第一届名剑大会后为七秀坊公孙大娘（实为二娘）所得，现藏于西湖七秀坊。
585	\n\n【正阳】\n\n\n\n　　外观：长三尺七寸，重七十八两八钱，宽剑厚刃，重剑无锋，大巧不工。\n\n　　来历：集五种天火之碎片高温溶合而成，剑气炙烈，斩妖诛邪，万魔难侵。\n\n　　下落：第二届名剑大会后被剑圣所得，现随剑圣一起，下落不明。
586	\n\n\n【碎星】\n\n\n　　外观：长三尺五寸，重六十三两五钱。\n\n　　来历：有诗为证：神器化成，阳文阴缦；流绮星连，浮彩泛发，飞光碎星，穷理尽现。\n\n　　下落：第三届名剑大会碎星剑未经大会比试便被明教两位法王夺走，现存西域明教。
587	\n\n【残雪】\n\n\n　　外观：长一尺八寸，重二十三两四钱，与其说是剑还不如说是匕首，银色的剑身上有点点的银色金属颗粒光辉异常耀眼，是为残雪。\n\n　　来历：新庄主叶英化了三年在南海海地得千年寒铁，又花了六年炼成。\n\n　　下落：第四届名剑大会后被所得。
588	\n\n\n【流风】\n\n\n　外观：长三尺二寸，重三十三两七钱，剑身细长，重若无物，鞘中藏鞘，剑中藏剑。\n\n　来历：是藏剑山庄借鉴大食某些铸造工艺，结合中原技术精心铸造而成，由于剑身细长，几乎不能用于劈砍，但是剑尖之利，举世无双，正所谓：无、坚、不、摧。\n下落：现存藏剑山庄，静待第五次名剑大会的到来……
589	\n\n【葬月】\n\n\n　　外观：长三尺三寸，重六十五两，洁净污垢，不染尘埃。\n\n　　来历：此剑原名出尘，上古之物，剑若秋水，点尘不沾。红尘一脉掌门人信物，王遗风爱侣文小月死去之后，易名『葬月』，后传剑叶凡。\n\n　　下落：藏剑山庄五庄主，『放浪公子』叶凡之手。
590	\n【长生】\n\n\n　　外观：长三尺三寸，重五十八两四钱，剑身雾气环绕，为寒雾银合精铁打造，剑柄为蓝田暖玉之精所铸，剑在剑鞘中时，持之温润舒适。\n\n　　来历：藏剑叶婧衣先天三阴逆脉，她虽无法修习高深内功，藏剑大庄主叶英却仍为其亲自开炉，半年之后铸成此剑，将之赠与小妹。此剑锋利无比，更难得还可祛寒静心，外抑心魔。叶英将之冠名『长生』，乃是奢望妹子长命无恙。\n\n　　下落：恶人谷中。
591	\n\n【留情】\n\n\n　　外观：长三尺五寸，重四斤六两，无鞘，青蓝色。\n\n　　来历：铸造世家霸刀山庄老庄主柳风骨早年为公孙大娘精心打造的定情信物，取北国长白天池铁螺木合柳家所藏青金，由柳五打造，剑鞘存于霸刀山庄。\n\n　　下落：现在小七之手。
592	\n\n【村正】\n\n\n\n　　外观：长三尺七寸，重七十八两八钱，重剑无锋，大巧不公。\n\n　　来历：斬切能力出類拔萃，被人視為『不吉』的象徵，斥之為『妖刀村正』。谢云流花费四百二十两黄金打造。\n\n　　下落：谢云流之手。
593	\n【天权】（笔）\n\n\n　　外观：长一尺八寸，重二十三两，寒玉雕琢而成，中空笔尖有小孔。\n\n　　来历：相传，当年昭君出嫁匈奴呼韩邪单于，燕然山上出现了千年难见的寒玉。呼韩邪单于命人取其中一部分琢成玉笔赠与昭君，名『天权』。寒玉性寒专克阳气，遇见普通兵器，其上寒霜可使对手兵刃脆而易折。天权陪葬在昭君墓，被盗墓之人偷出流落江湖，后人争相抢夺。\n\n　　下落：传说落在两大神偷卫栖梧或者柳公子手中。
594	\n\n\n【文曲之聿】（笔）\n\n\n　　外观：长二尺，重八两。笔杆用香柏木制成，笔根镶金，笔尖乃赤兔的耳毛制成。赤兔耳毛柔软之极，此笔坚韧无比，不易被削断。若非内力极强的人，难以运用自如。\n\n　　来历：在汉朝一公主墓中发现，上刻有『文曲星』三字，被后人称为文曲之聿。\n\n　　下落：现存于万花。
595	\n\n【断鬼】（笔）：\n\n\n\n　　外观：长一尺三寸，重十两六钱，柄为金色。笔头由八偏锋利银片制成。由金银、铝锡集炼制成的武器，重量轻却极其锋利。\n\n　　来历：东方谷主从侠客岛带来，据说它的来历极其神秘。\n\n　　下落：被赠予颜真卿。
596	\n\n\n【苍龙】（短笛）\n\n\n　　外观：长三尺二寸，重十八两。短笛，金色发着白光。\n\n　　来历：出自大理，是用当地出产的金玉制成。当地人称这种是龙留下的鳞片，周身散发白光，故言为『苍龙』。\n\n　　下落：万花宇晴所有。\n
597	\n【北玄】（笔）\n\n\n\n　　外观：长二尺七寸，重三十两，由黑色玄武石制成，笔头也是黑色发光的金属丝做成，这奇特的金属丝可吸附住毒汁。\n\n　　来历：司徒经南生前无意发现这种奇特的金属。遂制成了『北玄』，在其上淬上魔血（一种毒汁），遇上鲜血随即腐蚀全身，毒液从伤口进入全身。\n\n　　下落：北玄被唐门夺取。
598	\n\n【南冥】（笔）\n\n\n　　外观：长一尺五寸，重十八两。火红颜色，质地非铁非木非石。\n　　来历：隋炀帝被杀之日，天降巨石在凉州城南外五十里处。巨石浑身燃火十日方止。有名石匠取其碎部细琢成笔。此笔无论春夏秋冬都呈火红色，宛如火在燃烧，笔尖火烫，而笔杆与人体温一致，据说能治伤寒，南冥坚固无比，削不断，斩不折，遇火不化，遇水不碎。后匠将其献给李世民。\n　　下落：天策府藏。
599	\n\n【祭魂】（横笛）\n\n\n\n　　外观：长两尺两寸，重十二两。横笛，青绿色，散发着幽光。\n\n　　来历：红衣教圣女浴冰的武器，声音清幽而辽远。\n\n　　下落：浴冰手中。
600	\n\n\n\n【噬魔】（箫）\n\n\n　　外观：长三尺八寸，重三十两。通身黑色的长箫。\n\n　　来历：霸刀柳五爷用黑铁白锡炼成。据说有吸蚀内力之效。\n\n　　下落：柳浮云，即明教何方易手中。
601	\n【鸿雁】（短笛）\n\n\n　　外观：长一尺，重九两。白玉制成。\n\n　　来历：传说华山天降仙人，在险峰上看着世间佳境谱曲一首，便拿出随身携带的玉笛吹奏。仙人贪恋人间美景不忍离去，竟在险峰之上睡着了。后来玉帝临召，慌忙中竟留下了玉笛。后有童子篮采和见大雁在险峰上徘徊，上去见一玉笛，遂起名雁笛。此乃传说，不知真假，但确有其笛存在。据说此笛能让吹奏之人心旷神怡，消病去毒。\n　　下落：蓝采和手中。
602	\n【燃木】\n\n　　外观：长四尺九寸，重十三两，棍体通红，耀如烈火所灼。\n\n　　来历：东天竺火云树生于湖中，轻如鸿毛，偏有坚逾铁石，火云树极难生长，百年方可生长寸许，也只有天竺王宫之中方才生有一株，天竺王子玉罗酷爱棍法，竟将千年火云树断根，浸入赤蚁酸中十七年，在以巧匠雕以火云，方才制成此棍。此棍棍成之日，玉罗王子当庭舞动，粲然若火云飞舞，戒日振奋无比，大笑整日，次日暴毙于寝宫。玉罗王子断去天下火云树之命脉，天竺国人皆言此乃天罚也。\n\n　　下落：周墨手中。
603	\n\n【袖中雪】\n\n\n　　外观：长五尺八寸，重四十七两，乳白剔透。\n\n　　来历：昆仑匠石坊主人李文山取昆仑冰蔓合黑龙潭底无骨鱼骨制成此棍。柔韧之性，当世无匹，可轻易团成一簇，收入袖中。\n\n　　下落：李文山制成此物，曾夸耀四方，武林之中，多有用棍着前来或求或买，皆不曾如愿，唯李文山与不老僧渡法一面之后，将之慨然相赠。
604	\n\n\n\n【西天】\n\n\n　　外观：长六尺七寸，重十八斤六两。\n\n　　来历：唐代西天取经的高僧玄奘所用之禅杖，舞动之时梵音轻唱，功能镇定心魔，坚定心志。\n\n　　下落：少林寺中。
605	\n【白骨碎云】\n\n\n　　外观：长六尺一寸，重二十三斤八两。通体乳白渗青色，细看似有重云缭绕其中，迷离缭乱。\n\n　　来历；少林寺十三棍僧之首大将军僧昙宗所用神兵，曾横扫王世充数名大将，度会僧仗以成名，原名祥云棍，后『光明僧』陈和尚反出少林，离去之前，设计骗走师祖神兵，为祸武林。此棍从此杀生无数，故人称『白骨碎云棍』。\n\n　　下落：恶人谷陈和尚手中。
606	\n\n【蚩尤旗】\n\n\n\n　　外观：长六尺二寸，重十五斤五十两，棍体浓黑如墨，隐然发出金光，棍头尚缠有几块碎布。\n\n　　来历：五毒教供奉之宝，传闻乃是苗祖蚩尤悬挂王旗旗杆，蚩尤旗碎金裂玉，极为坚硬，不知何物所制。\n\n　　下落：五毒教神殿之中供奉。
607	\n\n\n【打狗棒】\n\n\n　　外观：重九十一两，长六尺一寸，通体翠绿。\n\n　　来历：丐帮镇派之宝，泰山山麓千年竹所制，入手轻灵无比，贯注内力后，挥舞之间声若风雷涌动。\n\n　　下落：丐帮前任帮主尹天赐手中。
